tid,mynt,side,mengde,pris,belop_usdt,gebyr_usdt,grunn
2026-09-23T08:24:18Z,ONE-USDT,SELG,1372.3415343834,0.004783,6.5639,0.0066,stop-loss -8.9%
2026-09-23T08:24:25Z,G-USDT,KJØP,1061.4377725639,0.00604,6.4175,0.0064,signal +0.32
2026-09-23T08:24:37Z,TIA-USDT,SELG,18.4234364239,0.528,9.7276,0.0097,take-profit +20.5%
2026-09-23T08:24:40Z,DATA-USDT,SELG,38.7454800553,0.2262,8.7642,0.0088,stop-loss -8.0%
2026-09-23T08:24:47Z,DRIFT-USDT,SELG,514.109937128,0.02039,10.4827,0.0105,stop-loss -8.4%
2026-09-23T12:27:37Z,XRP-USDT,KJØP,4.7536083988,1.56671,7.455,0.0075,signal +0.37
2026-09-23T12:27:48Z,ONE-USDT,KJØP,1342.4401308534,0.005295,7.1153,0.0071,signal +0.36
2026-09-23T12:28:00Z,BCH-USDT,KJØP,0.019505815,343.01,6.6974,0.0067,signal +0.34
2026-09-23T12:28:06Z,TIA-USDT,KJØP,22.6288448852,0.5094,11.5387,0.0115,signal +0.58
2026-09-23T12:28:08Z,SOMI-USDT,KJØP,36.0446352635,0.1944,7.0141,0.007,signal +0.35
2026-09-23T12:28:09Z,DATA-USDT,KJØP,47.3009494794,0.226,10.7007,0.0107,signal +0.54
2026-09-23T13:24:17Z,UNI-USDT,SELG,0.8795666527,9.5542,8.4036,0.0084,stop-loss -8.3%
2026-09-23T13:24:26Z,ONE-USDT,SELG,1342.4401308534,0.0033,4.4301,0.0044,stop-loss -37.7%
2026-09-23T13:24:49Z,AIOZ-USDT,SELG,39.3096146147,0.12791,5.0281,0.005,rebalansering
2026-09-23T14:24:10Z,PEPE-USDT,SELG,1691527.2769021264,4.524e-06,7.6525,0.0077,stop-loss -9.2%
2026-09-23T14:24:13Z,ONDO-USDT,SELG,21.4822632864,0.41273,8.8664,0.0089,stop-loss -8.1%
2026-09-23T14:24:18Z,KAS-USDT,SELG,264.4153269514,0.03869,10.2302,0.0102,stop-loss -11.4%
2026-09-23T14:24:19Z,USELESS-USDT,SELG,39.3167495718,0.3141,12.3494,0.0123,stop-loss -8.3%
2026-09-23T14:24:20Z,WLD-USDT,SELG,16.4296526942,0.422,6.9333,0.0069,stop-loss -9.7%
2026-09-23T14:24:21Z,STX-USDT,SELG,30.6972619931,0.3098,9.51,0.0095,stop-loss -9.5%
2026-09-23T14:24:23Z,RENDER-USDT,SELG,4.0163815262,1.71,6.868,0.0069,stop-loss -8.8%
2026-09-23T14:24:27Z,POL-USDT,SELG,72.7821849838,0.1014,7.3801,0.0074,stop-loss -9.5%
2026-09-23T14:24:34Z,COQ-USDT,SELG,50268371.05751249,1.298e-07,6.5248,0.0065,stop-loss -9.7%
2026-09-23T15:23:54Z,CRV-USDT,SELG,21.7004653452,0.3345,7.2588,0.0073,stop-loss -8.4%
2026-09-23T16:24:35Z,DOGE-USDT,SELG,71.5624163202,0.0927,6.6338,0.0066,stop-loss -8.1%
2026-09-23T17:23:05Z,NPC-USDT,SELG,394.6392881377,0.02231,8.8044,0.0088,stop-loss -8.3%
2026-09-23T18:26:26Z,TIA-USDT,SELG,22.6288448852,0.461,10.4319,0.0104,stop-loss -9.5%
2026-09-23T21:22:24Z,TAO-USDT,SELG,0.0296688276,287.13,8.5188,0.0085,stop-loss -8.0%
2026-09-23T22:22:22Z,AIOZ-USDT,SELG,68.059915069,0.11795,8.0277,0.008,stop-loss -8.6%
2026-09-23T23:19:22Z,ZEN-USDT,SELG,0.781357157,7.12,5.5633,0.0056,stop-loss -8.2%
2026-09-24T00:29:28Z,UNI-USDT,KJØP,0.6481932565,9.2331,5.9908,0.006,signal +0.31
2026-09-24T00:29:42Z,LSK-USDT,KJØP,34.0226371573,0.3495,11.9028,0.0119,signal +0.62
2026-09-24T00:29:44Z,USELESS-USDT,KJØP,20.7903998761,0.2977,6.1955,0.0062,signal +0.32
2026-09-24T00:29:49Z,COTI-USDT,KJØP,782.3259074546,0.01635,12.8038,0.0128,signal +0.66
